"","Short_label","Longer_name","Sample_type","Num_larvae","Date_collected","Exp_day","Mesocosm_id","Mesocosm_treatment","Microbe_treatment","Food_type","Mesocosm_type","Treatment_notes","Notes","Raw_reads","Num_larvae_d00","Num_larvae_d08","Num_larvae_d34","Num_larvae_d40","Total_pupae","Proportion_pupated","Biomass_day30","Biomass_day40","lib_size_clean","is.neg"
"WB48","WB48","W_D20_B_EMO.2","Water",NA,"7/12/23",20,"B_EMO.2","B_EMO","EMO","Bamboo","Experiment","Environmental microbes only","",134593,20,18,5,5,0,0,0,0,99910,FALSE
"WB49","WB49","W_D20_B_EMO.3","Water",NA,"7/12/23",20,"B_EMO.3","B_EMO","EMO","Bamboo","Experiment","Environmental microbes only","",91941,20,15,12,8,4,0.2,0.621,0.621,73241,FALSE
"WB5","WB5","W_D5_B_AHK.1","Water",NA,"6/27/23",5,"B_AHK.1","B_AHK","AHK","Bamboo","Experiment","All heat-killed microbes","",91658,20,14,11,4,0,0,0,0,80964,FALSE
"WB50","WB50","W_D20_B_EMO.4","Water",NA,"7/12/23",20,"B_EMO.4","B_EMO","EMO","Bamboo","Experiment","Environmental microbes only","",151644,20,16,11,9,3,0.15,0.308,0.308,109551,FALSE
"WB51","WB51","W_D20_B_EMO.5","Water",NA,"7/12/23",20,"B_EMO.5","B_EMO","EMO","Bamboo","Experiment","Environmental microbes only","",90710,20,15,0,0,18,0.9,3.16,4.085,68817,FALSE
"WB52","WB52","W_D20_B_EMO+","Water",NA,"7/12/23",20,"B_EMO+","B_EMO+","EMO","Bamboo","Additional control","No larvae - environmental microbes","",136381,NA,NA,NA,NA,NA,NA,NA,NA,104314,FALSE
"WB53","WB53","W_D20_B_ECO.1","Water",NA,"7/12/23",20,"B_ECO.1","B_ECO","ECO","Bamboo","Experiment","E. coli only","",70965,20,14,7,7,0,0,0,0,60418,FALSE
"WB54","WB54","W_D20_B_ECO.2","Water",NA,"7/12/23",20,"B_ECO.2","B_ECO","ECO","Bamboo","Experiment","E. coli only","",71826,20,15,9,7,0,0,0,0,62828,FALSE
"WB55","WB55","W_D20_B_ECO.3","Water",NA,"7/12/23",20,"B_ECO.3","B_ECO","ECO","Bamboo","Experiment","E. coli only","",104622,20,18,5,4,0,0,0,0,84221,FALSE
"WB56","WB56","W_D20_B_ECO.4","Water",NA,"7/12/23",20,"B_ECO.4","B_ECO","ECO","Bamboo","Experiment","E. coli only","",143682,20,17,7,6,0,0,0,0,117027,FALSE
"WB57","WB57","W_D20_B_ECO.5","Water",NA,"7/12/23",20,"B_ECO.5","B_ECO","ECO","Bamboo","Experiment","E. coli only","",102762,20,18,6,4,0,0,0,0,86281,FALSE
